tweet_id,name,screen_name,retweet_count,text,created_at,favourite_count,hashtags,status_count,location,source_device
1485764336547254282,Edouble D,EdoubleD8,0,"@KarenAs94199445 @CaptCajun1776 @BetoORourke Destroy, so you enjoy living in an American state that treats it's citizens like their in Afghanistan okay",2022-01-24 23:59:56+00:00,0,[],4306,,Twitter for Android
1485764322601029632,NgaQ,NgaQ15,0,"@JenGriffinFNC No worries! This administration has a plan, just like they had for Afghanistan. Have faith! The ""pro politicians"" are in charge!",2022-01-24 23:59:53+00:00,0,[],39,,Twitter for Android
1485764312916496386,Dibbie,Dibbie14,0,@brendanhughes64 And the children of Afghanistan die of hunger as we worry about jokes and trees! God help us!!,2022-01-24 23:59:51+00:00,0,[],54,,Twitter for Android
1485764298987257862,Johnny Llieno,JohnnyLlieno,0,@Potus @StateDept America is about to learn what a #War with #Russia and #China at the same time looks like. We had TWO DECADES to win in the hillbilly land of  Afghanistan and we lost. Wait until our sanctions are meaningless against  them and; our guns are swatted out of our hands,2022-01-24 23:59:47+00:00,0,"[{'text': 'War', 'indices': [51, 55]}, {'text': 'Russia', 'indices': [61, 68]}, {'text': 'China', 'indices': [73, 79]}]",290,,Twitter Web App
1485764286333227009,Mama Segs,MilwaukeeKate,0,Putin picked a good time to invade Ukraine because he knows the US just got out of a 20 yr war with Afghanistan. Puts Biden in a tough position.,2022-01-24 23:59:44+00:00,0,[],44732,,Twitter for iPhone
1485764234101374979,nitrotech1000,nitrotech1000,0,@AesPolitics For his crimes in Ukraine that are on tape. Probably for Afghanistan but im not sure if incompetent is impeachable  Definitely for the 10% he gets from Hunters deals to betray us .,2022-01-24 23:59:32+00:00,0,[],669,,Twitter Web App
1485764221652635649,"Turner D, RPh 🌊🐊💉💉💉",SaveDem79589185,0,"@GonzoBNW1984 @Dan_Winiarski @jayjadeja @snark_land @brianstelter So are you mad at Afghanistan withdrawal or mad at unjustified wars. You guys are really hard to track. And yes, I support opposing Putin's empire building, just as I would've opposed Hitler invading Poland in 1936. Small things spiral.",2022-01-24 23:59:29+00:00,1,[],16569,,Twitter for Android
1485764205856935936,Atrocitus,guygardner26,0,"@BonginoReport @dbongino what else do you expect, he left Americans behind in Afghanistan and acted like the entire thing went off without a hitch.",2022-01-24 23:59:25+00:00,0,[],643,,Twitter Web App
1485764197157900288,Gerald Carlin,GeraldCarlin6,0,"@tonyseig @BethFlk15 @LinkFighterOG @WhiteHouse 7 years, you think with today's economy,  the disaster withdrawal from Afghanistan, the moronic approach to Russia any intelligent American will vote for Biden again. What a joke!",2022-01-24 23:59:23+00:00,1,[],328,,Twitter for Android
1485764144980795396,打击美帝国主义！反对社会帝国主义！ ✊🏾📕 🔥🌽🔥🥭,yungblackmaoist,0,"They got yeeted out of Afghanistan, now they’re bored",2022-01-24 23:59:10+00:00,3,[],27587,,Twitter for iPhone
1485764124168450048,S,yungsstvn,0,@no_itsmyturn They didn’t learn from Afghanistan I guess,2022-01-24 23:59:06+00:00,0,[],155,,Twitter for iPhone
1485764100668137474,M hadi sultani,MahnazSultani,0,"More then Half population of Afghanistan is made of Women and there is no right for Women in Taliban's Rule! Please do not make a decision that harms Women, Children and the rest population of Afghanistan!  #SanctionTaliban",2022-01-24 23:59:00+00:00,0,"[{'text': 'SanctionTaliban', 'indices': [207, 223]}]",1558,,Twitter for Android
1485764033793904640,Steven Hamlin,northstarman321,1,Incase you never knew that Starlin was Russian Socialist Democrat! The one party system in Russia The same Democrats are in them USA now. Biden needs to leave he did exactly as a  Russian socialist in Afghanistan departure cold and murderest. Same way he got rid Military,2022-01-24 23:58:44+00:00,0,[],8241,,Twitter for Android
1485764032468766720,M hadi sultani,MahnazSultani,0,if you accept them as a legal government then you will not only witness but also be count as part of a huge tragedy in Afghanistan!  #SanctionTaliban,2022-01-24 23:58:44+00:00,0,"[{'text': 'SanctionTaliban', 'indices': [133, 149]}]",1558,,Twitter for Android
1485763993889538048,Jodi Walters,moffeejw,0,@TheBabylonBee Now there's a great idea but they'll need all that equipment we left in Afghanistan ,2022-01-24 23:58:34+00:00,1,[],145,,Twitter for Android
1485763986968752132,Pamela J Pittman,pamelaj13,0,"@nolafan76 @townhallcom @redsteeze Truths such as: “I will Unite the country, I will shut down the virus not the economy, No chance Afghanistan will look like Vietnam, I will Not leave Americans behind, BBB is free, We saved Xmas and; fixed the supply chain, was a truck driver, civil rights activist, etc.”??",2022-01-24 23:58:33+00:00,3,[],1173,,Twitter for iPhone
1485763979301560321,Noor Bashardoost,NoorBashardoost,0,"The Norway Foreign Minister says that he was not aware of Anas Haqqani's trip to Norway, Very nonsense and shameful words for the foreign minister of a country, I think the Norway Foreign Minister thinks the people of the world, especially the people of Afghanistan, are stupid!",2022-01-24 23:58:31+00:00,1,[],2676,,Twitter for Android
1485763853631639552,Bryan,BryanOnStock,0,@BoatMadeOScotch Im not a expert and neutral when it comes to politics but you forgot that Trump freed Taliban leader from prison and he took back control of Afghanistan?,2022-01-24 23:58:01+00:00,0,[],718,,Twitter for iPhone
1485763828730183681,Corrine Hanson,corrinehhanson,0,We still have people stranded in Afghanistan.,2022-01-24 23:57:55+00:00,0,[],16289,,Twitter Web App
1485763782941220868,Danno,Danno07849867,0,@RobertBodine5 @HollyWoodStarR9 @RSBNetwork Yes trump wanted to take the soldiers out of Afghanistan but was ousted from the presidency before he could..then biden did it and completely stuffed it up leaving weapons and armoured vehicles behind for the Taliban among other issues..biden stuffed up not trump mate!,2022-01-24 23:57:44+00:00,0,[],187,,Twitter for Android
1485763694625583104,Salarian,Dark_Salarian,0,@robertpatrickT2 You don't suck. It was awesome meeting you in Afghanistan along with all your Unit co-stars.,2022-01-24 23:57:23+00:00,0,[],3343,,Twitter Web App
1485763598076891137,Jeremy Besse,sundeviljeremy,0,@GaydosAndChad trump sent mean tweets and you laid into him every time. Biden sends troops to their death like in Afghanistan and you give out a pass. Time for chad and …,2022-01-24 23:57:00+00:00,0,[],856,,Twitter for iPhone
1485763575159435264,Raheel,009barca,0,"@rabia_ejaz I think now only Iran and Afghanistan have forced hijab laws, every other country has repealed it. Though, Pakistan has other more notorious laws",2022-01-24 23:56:55+00:00,1,[],59079,,Twitter for iPhone
1485763570495332353,DPentony,dpento01,0,"@orwell4ever @donlav Nonsense assessment. The USA has thousands of nukes too, hypothetically if they launched one, there would be an equal retaliation. Russia lost in Afghanistan too btw. Although why one would cheerfully fantasize about Russia emerging victorious in a WW3 nuke war, I don’t know.",2022-01-24 23:56:54+00:00,0,[],16124,,Twitter for iPhone
1485763557333606400,usndan505,usndan505,1,"#WarmongerJoe wants a war so Americans will forget about Afghanistan, Inflation, and how unstable he is.",2022-01-24 23:56:50+00:00,2,"[{'text': 'WarmongerJoe', 'indices': [0, 13]}]",8806,,Twitter for iPhone
1485763475918008320,bob,BobDxbcmbeh,0,"@MiaMcCall18 @VviewSsonicMair There are historical links between Russia and Belarus that predate its independence .. not to excuse the dictatorial leader in place since 1994.. but is it much different from US relationship with say Saudi Arabia or Egypt and US invasion into Iraq, Afghanistan or Syria",2022-01-24 23:56:31+00:00,0,[],4862,,Twitter for Android
1485763417331810305,Pasha,jabU_Free,0,"@ckellyofd @Marylou14099916 He's already said we can't get them out. Although, they're not going to be hacked to death or burned like Afghanistan",2022-01-24 23:56:17+00:00,1,[],3699,,Twitter for Android
1485763369806172162,GIZΛDӨG,GizaDog,0,"America did so well fighting caveman in Afghanistan, so now we should go fight the Russians to see how that turns out.",2022-01-24 23:56:06+00:00,2,[],33766,,Twitter for iPhone
1485763369692917761,Crime Champ Nelly,LateNightNelly,1,What happened to that conspiracy theory from like 2005 that the military had a gay bomb they were going to drop on Afghanistan and make all the jihad fighters kts,2022-01-24 23:56:06+00:00,6,[],18034,,Twitter for iPhone
1485763329738129411,mariasopot,mariasopot1,0,"@AnnykaV @MonicaCrowley @JackPosobiec Reminder: 1,200 non-US troops died in Afghanistan following the 9/11 WTC attack in your country",2022-01-24 23:55:56+00:00,0,[],3806,,Twitter Web App
1485763254685159435,Joy Sequeira🌎,JupiterWisdom,0,@ForeignAffairs It's Pakistan who controls Afghanistan!,2022-01-24 23:55:38+00:00,0,[],3612,,Twitter for Android
